Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
ERR160121_1	65.43838488502051	19.476834383255124	6.42647492138837	2.512959993532162	1.215961317968544	0.6915523401155835	0.4763550999326941	0.37633143224668597	0.28210001252999817	2.0708408909389084	0.5300725272003166	0.49053840685578004	0.008703042022103582	0.002890746993194526	0.0	0.0
ERR160121_1_val_1	64.77804354523636	19.986356595419817	6.51246029725937	2.517309824801946	1.2253205192552226	0.6848093697792554	0.4816453451217597	0.3544384006088629	0.30854996237207066	2.1241626577095203	0.5502794238247801	0.4665952044603433	0.010028854150564271	0.0	0.0	0.0
ERR160121_2	70.27843239374887	17.13342022115625	5.416220391537271	2.0504216236427846	0.9828753194838311	0.6286276514118373	0.41123400342910715	0.2818837711301671	0.21067084111388007	1.7727746008566283	0.44915339984075386	0.3752685479736257	0.009017234675021305	0.0	0.0	0.0
ERR160121_2_val_2	68.65810886050741	18.103112673735538	5.690026038589309	2.142755923725517	1.0302421954162309	0.6449270659234927	0.4355819489160815	0.2931440504515052	0.24311456148321564	1.8915556332899528	0.4667982704641692	0.3911391477557657	0.00949362974174485	0.0	0.0	0.0
ERR160122_1	64.6206516922718	20.330261392228703	6.6953811909246	2.51483182323339	1.2670478556578186	0.6846722720813886	0.4136689835520925	0.3336396805543182	0.25631753136933055	2.0288027382503517	0.537438111519648	0.31728672835651833	0.0	0.0	0.0	0.0
ERR160122_1_val_1	64.06299587155841	20.89049909601247	6.735189175066274	2.507627970567107	1.2667218170101473	0.6479008255914157	0.43426228906616815	0.3441501207688155	0.26377094245743343	1.9916957196739853	0.5221416961185543	0.3330444761091168	0.0	0.0	0.0	0.0
ERR160122_2	72.27907209396223	16.516742989962996	5.008436680339061	1.9332344333240443	0.9082625888419762	0.5281408744515255	0.3545029127741865	0.23378586542780808	0.18457404004307382	1.471308174568518	0.41781773186688187	0.16412161443771373	0.0	0.0	0.0	0.0
ERR160122_2_val_2	70.36848124051714	17.758402371703326	5.310204202579496	2.0060244450857394	0.9922114149122999	0.5698513308656293	0.37705700511057727	0.2583584515748242	0.20918631597737228	1.5519253613705797	0.4366899350923352	0.16160792521065143	0.0	0.0	0.0	0.0
ERR160123_1	64.33791491035294	20.492971279345554	6.795570883483845	2.616779926629595	1.181037648241746	0.6733718597506956	0.4157408723492988	0.2913819559667688	0.2554918801360094	2.0623940185765903	0.4527886892813326	0.42455607588559086	0.0	0.0	0.0	0.0
ERR160123_1_val_1	63.64148210032814	21.12554934681194	6.813225152170924	2.650540787804123	1.1554486255879928	0.6828277130764396	0.4100165325902973	0.31082992042053037	0.2881254684262551	2.075620444505811	0.44326494935977895	0.4030689589177422	0.0	0.0	0.0	0.0
